commodity,bucket,gbp,has_t1,n_cells,n_countries,dupe_pct,dupe_partner,dupe_pct_ub,host_share,dupe_partner_ub,place_article,name_article,fold_candidate
Gloves,EMPTY,1219989,1,0,0,0,,0,0,,,,
Paper And Pasteboard — Of All Kinds (Except Hangings),EMPTY,1202905,1,0,0,0,,0,0,,,,
Lubricating,EMPTY,1193489,1,0,0,0,,0,0,,,,
Of All Kinds (Except Hangings),EMPTY,1065018,1,0,0,0,,0,0,,,,
Raisins,EMPTY,1033510,1,0,0,0,,0,0,,,,
"Substances And Extracts, Unenumerated",EMPTY,996384,1,0,0,0,,0,0,,,,
Of Wool (Other Than Goats'): Cloths,EMPTY,974052,1,0,0,0,,0,0,,,,
"Lace, Of All Kinds",EMPTY,966634,1,0,0,0,,0,0,,,,
Wool — Goats' Wool Or Hair: Mohair,EMPTY,926267,1,0,0,0,,0,0,,,,
Horses,EMPTY,921490,1,0,0,0,,0,0,,,,
"Glass, Of All Kinds",EMPTY,920020,1,0,0,0,,0,0,,,,
"Plaiting Of Straw, And Other Materials For Making Hats Or Bonnets",EMPTY,911629,1,0,0,0,,0,0,,,,
"Oil :Train Or Blubber, And Spermaceti",EMPTY,861788,1,0,0,0,,0,0,,,,
Clover And Grass,EMPTY,855524,1,0,0,0,,0,0,,,,
"Nuts, For Expressing Oil Therefrom",EMPTY,849356,1,0,0,0,,0,0,,,,
"Chinaware Or Porcelain, And Earthenware",EMPTY,844749,1,0,0,0,,0,0,,,,
"Beans (Other Than Kidney, Haricot, Locust Or French)",EMPTY,837417,1,0,0,0,,0,0,,,,
"Oil — Train Or Blubber, And Sperm",EMPTY,810891,1,0,0,0,,0,0,,,,
"Lac-Dye, Seedlac, Shellac, And Sticklac",EMPTY,776217,1,0,0,0,,0,0,,,,
Silver Ore,EMPTY,769355,1,0,0,0,,0,0,,,,
"Train Or Blubber, And Spermaceti",EMPTY,751359,1,0,0,0,,0,0,,,,
Paraffine And Paraffine Wax,EMPTY,711050,1,0,0,0,,0,0,,,,
"Seed, Of All Kinds",EMPTY,629654,1,0,0,0,,0,0,,,,
Parcel Post (Goods Free Of Duty) - Number Of Parcels,EMPTY,559928,1,0,0,0,,0,0,,,,
Furniture Wood: Mahogany,EMPTY,559670,1,0,0,0,,0,0,,,,
"Beef, Salted And Fresh",EMPTY,550663,1,0,0,0,,0,0,,,,
Seal Skins,EMPTY,550594,1,0,0,0,,0,0,,,,
Preserved Otherwise Than By Salting — Other Sorts,EMPTY,540908,1,0,0,0,,0,0,,,,
Wood And Timber — Furniture Woods: Mahogany,EMPTY,521859,1,0,0,0,,0,0,,,,
"Preserved, Otherwise Than By Salting — Other Sorts (Other Than Bacon And Hams)",EMPTY,519711,1,0,0,0,,0,0,,,,
Fresh (Not Of British Taking) — Cured Or Salted; Sardines,EMPTY,518855,1,0,0,0,,0,0,,,,
Strawboard Or Millboard,EMPTY,517161,1,0,0,0,,0,0,,,,
Unenumerated — Raw,EMPTY,513261,1,0,0,0,,0,0,,,,
Poultry And Game,EMPTY,501008,1,0,0,0,,0,0,,,,
Grapes,EMPTY,470423,1,0,0,0,,0,0,,,,
"Manufactures Of Iron And Steel — Girders, Beams, Joists And Pillars",EMPTY,467385,1,0,0,0,,0,0,,,,
"Of Other Sorts (Including ""Nuts, For Fruit"")",EMPTY,461492,1,0,0,0,,0,0,,,,
Skins And Furs — Skins : Sheep And Lamb,EMPTY,460216,1,0,0,0,,0,0,,,,
Furniture Woods And Hardwoods — Unenumerated,EMPTY,450066,1,0,0,0,,0,0,,,,
"Unenumerated, Viz. : Raw",EMPTY,447979,1,0,0,0,,0,0,,,,
Bones Of All Kinds (Except Whalefins),EMPTY,430442,1,0,0,0,,0,0,,,,
Skins And Furs — Manufactures Of,EMPTY,420187,1,0,0,0,,0,0,,,,
Matches,EMPTY,417644,1,0,0,0,,0,0,,,,
"Clocks, And Parts Thereof",EMPTY,398259,1,0,0,0,,0,0,,,,
Seed,EMPTY,396126,1,0,0,0,,0,0,,,,
Metals — Manufactures,EMPTY,385863,1,0,0,0,,0,0,,,,
"Pork, Salted And Fresh",EMPTY,382221,1,0,0,0,,0,0,,,,
Cordage And Twine,EMPTY,377757,1,0,0,0,,0,0,,,,
For Expressing Oil Therefrom,EMPTY,374505,1,0,0,0,,0,0,,,,
Leather Manufactures — Boots And Shoes,EMPTY,370147,1,0,0,0,,0,0,,,,
Logwood,EMPTY,363083,1,0,0,0,,0,0,,,,
"Train Or Blubber, And Sperm",EMPTY,361947,1,0,0,0,,0,0,,,,
Rum,EMPTY,344446,1,0,0,0,,0,0,,,,
Nuts And Kernels :For Expressing Oil Therefrom,EMPTY,342723,1,0,0,0,,0,0,,,,
Metal Not Otherwise Enumerated — Wrought,EMPTY,339970,1,0,0,0,,0,0,,,,
All Other Sorts,EMPTY,338957,1,0,0,0,,0,0,,,,
Nuts And Kernels — Of Other Sorts,EMPTY,311023,1,0,0,0,,0,0,,,,
Of Other Sorts,EMPTY,309099,1,0,0,0,,0,0,,,,
"Sweetened And Perfumed, Of All Kinds",EMPTY,307358,1,0,0,0,,0,0,,,,
Rape,EMPTY,307348,1,0,0,0,,0,0,,,,
Plums,EMPTY,302105,1,0,0,0,,0,0,,,,
Wrought Or Manufactured,EMPTY,301953,1,0,0,0,,0,0,,,,
Pepper,EMPTY,301942,1,0,0,0,,0,0,,,,
Wrought,EMPTY,284317,1,0,0,0,,0,0,,,,
"Books, Printed, Bound And Unbound, Including Maps And Charts",EMPTY,283748,1,0,0,0,,0,0,,,,
Other Farinaceous Substances,EMPTY,267381,1,0,0,0,,0,0,,,,
Mechanical,EMPTY,265118,1,0,0,0,,0,0,,,,
"Prepared, And Chocolate",EMPTY,258465,1,0,0,0,,0,0,,,,
Seeds — Of Other Sorts,EMPTY,251765,1,0,0,0,,0,0,,,,
Ornamental,EMPTY,250631,1,0,0,0,,0,0,,,,
Fruit — Almonds Of All Kinds,EMPTY,244078,1,0,0,0,,0,0,,,,
Dried,EMPTY,240962,1,0,0,0,,0,0,,,,
Sago,EMPTY,235834,1,0,0,0,,0,0,,,,
"For Other Purposes, Including Berlin Wool And Zephyr Yarn",EMPTY,224419,1,0,0,0,,0,0,,,,
"Cow, Ox, Bull, Or Elk",EMPTY,218396,1,0,0,0,,0,0,,,,
Oleo-Margarine Or Oleo Oil,EMPTY,212186,1,0,0,0,,0,0,,,,
"Farinaceous Substances — Sago, Sago Meal And Flour",EMPTY,206740,1,0,0,0,,0,0,,,,
Arabic,EMPTY,200083,1,0,0,0,,0,0,,,,
Wax (Including Ozokerit And Earth Wax),EMPTY,194630,1,0,0,0,,0,0,,,,
Manufactures Of,EMPTY,189461,1,0,0,0,,0,0,,,,
"Slates, For Roofing Purposes",EMPTY,188356,1,0,0,0,,0,0,,,,
"Hats Or Bonnets, Of Straw, Trimmed Or Untrimmed",EMPTY,186945,1,0,0,0,,0,0,,,,
Myrobalans,EMPTY,179007,1,0,0,0,,0,0,,,,
Ginger,EMPTY,175435,1,0,0,0,,0,0,,,,
Stationery,EMPTY,174261,1,0,0,0,,0,0,,,,
"Brass, Bronze, And Metal Bronzed Or Lacquered, }Manufactures Of",EMPTY,170981,1,0,0,0,,0,0,,,,
Imitation Lard,EMPTY,170090,1,0,0,0,,0,0,,,,
Cherries,EMPTY,166859,1,0,0,0,,0,0,,,,
"Unenumerated, For Expressing Oil Therefrom",EMPTY,164083,1,0,0,0,,0,0,,,,
Poultry And Game (Including Rabbits),EMPTY,155826,1,0,0,0,,0,0,,,,
Horse Hair,EMPTY,152631,1,0,0,0,,0,0,,,,
Whalebone (Including Finners),EMPTY,130013,1,0,0,0,,0,0,,,,
Unenumerated — Unwrought,EMPTY,129714,1,0,0,0,,0,0,,,,
Steel — Unwrought,EMPTY,128380,1,0,0,0,,0,0,,,,
"Metals And Ores — Gold, Ore Of (Including The Value Of The Gold Contained In Auriferous Ores And Metals",EMPTY,120803,1,0,0,0,,0,0,,,,
"Meat, Salted Or Fresh",EMPTY,119423,1,0,0,0,,0,0,,,,
"Fresh, Herrings",EMPTY,116379,1,0,0,0,,0,0,,,,
"Fish : Fresh, Herrings",EMPTY,114934,1,0,0,0,,0,0,,,,
"Bark, For Tanning",EMPTY,113369,1,0,0,0,,0,0,,,,
Brass And Bronze Manufactures,EMPTY,106836,1,0,0,0,,0,0,,,,
Cotton-Seed Cake,EMPTY,89727,1,0,0,0,,0,0,,,,
"Feathers And Down, In Beds Or For Beds",EMPTY,87425,1,0,0,0,,0,0,,,,
"Of Other Materials, Trimmed Or Untrimmed",EMPTY,87129,1,0,0,0,,0,0,,,,
"Manufactures Of Hair, And Of Goats' Wool - Value £",EMPTY,86973,1,0,0,0,,0,0,,,,
"Manufactures, Unenumerated",EMPTY,86211,1,0,0,0,,0,0,,,,
Wood Pulp Board,EMPTY,83912,1,0,0,0,,0,0,,,,
"Asphalt, Or Bitumen (Other Than Painters' Colours Or Drugs)",EMPTY,78958,1,0,0,0,,0,0,,,,
Bones For Manufacturing Purposes,EMPTY,77478,1,0,0,0,,0,0,,,,
Confectionery (Free And Dutiable),EMPTY,72197,1,0,0,0,,0,0,,,,
"Bones, Applicable To Manufacturing Purposes",EMPTY,68566,1,0,0,0,,0,0,,,,
"Knubs Or Husks Of Silk, And Waste - Cuts",EMPTY,67239,1,0,0,0,,0,0,,,,
Unenumerated,EMPTY,66414,1,0,0,0,,0,0,,,,
"Unenumerated, Not Sweetened",EMPTY,63878,1,0,0,0,,0,0,,,,
Geneva,EMPTY,61252,1,0,0,0,,0,0,,,,
Animal,EMPTY,60152,1,0,0,0,,0,0,,,,
"Fruit, Dried Or Preserved, Liable To Duty — Dried Or Preserved (Including Dried Apricots) „",EMPTY,59861,1,0,0,0,,0,0,,,,
"Sauces Or Condiments, Unenumerated (Including Table Salt)",EMPTY,55809,1,0,0,0,,0,0,,,,
Other Sorts Of Shell Fish,EMPTY,50174,1,0,0,0,,0,0,,,,
"Metals — Manufactures, Unenumerated",EMPTY,34981,1,0,0,0,,0,0,,,,
"Old Broken, And Old Broken Steel",EMPTY,34554,1,0,0,0,,0,0,,,,
Wool — Other Sorts Of Goats' Wool Or Hair,EMPTY,31012,1,0,0,0,,0,0,,,,
"Horses (Including Ponies), Viz., Stallions",EMPTY,30778,1,0,0,0,,0,0,,,,
Manufactures Of India And China,EMPTY,28643,1,0,0,0,,0,0,,,,
Sperm,EMPTY,27935,1,0,0,0,,0,0,,,,
Spermi,EMPTY,26579,1,0,0,0,,0,0,,,,
All Other Skins And Furs,EMPTY,26361,1,0,0,0,,0,0,,,,
"Coals, Culm, Cinders, And Shale",EMPTY,26015,1,0,0,0,,0,0,,,,
"Liqueurs, Cordials, &Amp;C., Not Tested }",EMPTY,23731,1,0,0,0,,0,0,,,,
"Spun Silk Yarn, Dyed Or Not Dyed",EMPTY,21741,1,0,0,0,,0,0,,,,
"Dyeing Or Tanning Stuffs — Madder, Madder Root, Garanoine, And Munjeet",EMPTY,21395,1,0,0,0,,0,0,,,,
Pitch And Tar :Pitch,EMPTY,18371,1,0,0,0,,0,0,,,,
Mica And Tale,EMPTY,18094,1,0,0,0,,0,0,,,,
"Animals, Living — Australasia",EMPTY,17572,0,0,4,0,,0,0,,Australasia,,
Not Tested,EMPTY,17375,1,0,0,0,,0,0,,,,
"Ammunition And Arms — Cannon And Mortars, Mounted Or Accom- Panied With Carriages",EMPTY,17212,0,0,3,0,,0,0,,,,
Dyeing Or Tanning Stuffs — Madder Root And Munjeet,EMPTY,15683,1,0,0,0,,0,0,,,,
Dried Or Preserved,EMPTY,12749,1,0,0,0,,0,0,,,,
"Beer And Ale: Mum, Spruce Or Black } Beer, Berlin White Beer, And Other Similar Preparations",EMPTY,10065,1,0,0,0,,0,0,,,,
"Sparkling, Red: Burgundy",EMPTY,8654,1,0,0,0,,0,0,,,,
Other Materials,EMPTY,7896,1,0,0,0,,0,0,,,,
"Manufactures, Piece Goods, Muslins",EMPTY,7650,1,0,0,0,,0,0,,,,
In The Manufacture Of Which Spirit Has Been Used,EMPTY,7236,1,0,0,0,,0,0,,,,
Imported In Bottles — Other Sorts,EMPTY,6929,1,0,0,0,,0,0,,,,
Whalebone (Whalefins) — Africa,EMPTY,5813,0,0,5,0,,0,0,,Africa,,
Gold — Australasia,EMPTY,4887,0,0,1,0,,0,0,,Australasia,,
Metal — Bell,EMPTY,4503,0,0,1,0,,0,0,,,,
"Flax — Ore Of, Or Ore Of Which The Greater Part In Value Is Gold",EMPTY,4384,0,0,4,0,,0,0,,,,
Horns And Hoops — From British Possessions In South Africa,EMPTY,3377,0,0,1,0,,0,0,,,,
"Animals, Living — British East Indies",EMPTY,2450,0,0,2,0,,0,0,,British East Indies,,
"Animals, Living — Horses, Stallions",EMPTY,2292,0,0,1,0,,0,0,,,,
I. Foreign Countries,EMPTY,1724,0,0,1,0,,0,0,,,,
Containing Not More Than 50 Per Cent. Of Chocolate With Spirit,EMPTY,1705,1,0,0,0,,0,0,,,,
Horns And Hoops — Australasia,EMPTY,1443,0,0,1,0,,0,0,,Australasia,,
"Coin, Gold And Silver (See Table No. 15)",EMPTY,1270,1,0,0,0,,0,0,,,,
"Arms, Ammunition, And Military Stores — Cannon And Mortars, Of Brass, Not Mounted Or Accompanied With Carriages",EMPTY,1010,0,0,1,0,,0,0,,,,
Margarine Cheese,EMPTY,718,1,0,0,0,,0,0,,,,
Swine,EMPTY,668,1,0,0,0,,0,0,,,,
"Chicory And Coffee, Roasted Or Ground Mixed",EMPTY,549,1,0,0,0,,0,0,,,,
Manures — .. Australasia,EMPTY,545,0,0,1,0,,0,0,,.. Australasia,,
"Plants, Shrubs, Trees, And Flower Roots — Plate Of Gold",EMPTY,466,0,0,2,0,,0,0,,,,
Copper — Buckwheat Meal,EMPTY,430,0,0,1,0,,0,0,,,,
Containing Not More Than 50 Per Cent. Of Chocolate,EMPTY,399,1,0,0,0,,0,0,,,,
"And Coffee, Roasted And Ground, Mixed",EMPTY,397,1,0,0,0,,0,0,,,,
Plate,EMPTY,284,0,0,1,0,,0,0,,,,
Iron And Steel — To British East Indies,EMPTY,187,0,0,1,0,,0,0,,,,
"Arms, And Ammunition — Cannon And Mortars Of Brass, Not Mounted Nor Accompanied With Carriages",EMPTY,155,0,0,1,0,,0,0,,,,
Beer And Ale — Bones (Except Whalefins) Applicableto Manufacturing Purposes,EMPTY,152,0,0,1,0,,0,0,,,,
Imitation Cheese,EMPTY,148,1,0,0,0,,0,0,,,,
Beer And Ale — Mum,EMPTY,136,0,0,1,0,,0,0,,,,
"Ether — Ethyl, Iodide Of",EMPTY,84,0,0,4,0,,0,0,,,,
"Chemical Manufactures And Pro-Ducts — Chicory : Other Vegetable Matter,Applicable To The Uses Of Chicoryor Coffee",EMPTY,58,0,0,1,0,,0,0,,,,
"Chemical Manufactures And Pro-Ducts, Not Enumerated — Chicory : Other Vegetable Matter,Applicable To The Uses Of Chicoryor Coffee",EMPTY,36,0,0,1,0,,0,0,,,,
Iodide Of,EMPTY,26,1,0,1,0,,0,0,,,,
Candles Of All Sorts — From British East Indies,EMPTY,20,0,0,1,0,,0,0,,,,
Rabbits — From Australasia,EMPTY,8,0,0,1,0,,0,0,,,,
Pyrites Of Iron Or Copper — From Australasia,EMPTY,5,0,0,1,0,,0,0,,,,
Articles Free Of Duty,EMPTY,0,0,0,3,0,,0,0,,,,
Abstract Tables,EMPTY,0,0,0,8,0,,0,0,,,,
General Imports,EMPTY,0,0,0,2,0,,0,0,,,,
Imports,EMPTY,0,0,0,2,0,,0,0,,,,
Goat,EMPTY,0,1,0,0,0,,0,0,,,,
Furs Of All Sorts,EMPTY,0,1,0,0,0,,0,0,,,,
"Manufactured, Cigars And Snuff",EMPTY,0,1,0,0,0,,0,0,,,,
Guanö,EMPTY,0,1,0,0,0,,0,0,,,,
Other Kinds Of Meal And Flour,EMPTY,0,1,0,0,0,,0,0,,,,
Manufactures — Of Countries Out Of Europe,EMPTY,0,1,0,0,0,,0,0,,,,
Manufactures — Of Countries In Europe,EMPTY,0,1,0,0,0,,0,0,,,,
Dyes Obtained From Coal Tar,EMPTY,0,1,0,0,0,,0,0,,,,
Mahogany,EMPTY,0,1,0,0,0,,0,0,,,,
"House Frames, &Amp;C.",EMPTY,0,1,0,0,0,,0,0,,,,
Paper And Pasteboard,EMPTY,0,1,0,0,0,,0,0,,,,
Cinnamon,EMPTY,0,1,0,0,0,,0,0,,,,
Unmanufactured,EMPTY,0,1,0,0,0,,0,0,,,,
"Zinc : Oxide, In Cakes",EMPTY,0,1,0,0,0,,0,0,,,,
Iron And Steel Manufactures : Sewing Machines Value £,EMPTY,0,1,0,0,0,,0,0,,,,
"Of Other Sorts (Including ""Nuts, For Fruit"") - Value £",EMPTY,0,1,0,0,0,,0,0,,,,
"All Other Sorts, Undressed And Dressed }(Not Leather)",EMPTY,0,1,0,0,0,,0,0,,,,
"Furs, Of All Sorts (Other Than Seal Skins)",EMPTY,0,1,0,0,0,,0,0,,,,
"Esparto, And All Other Materials",EMPTY,0,1,0,0,0,,0,0,,,,
"Furs, Seal",EMPTY,0,1,0,0,0,,0,0,,,,
"Soup, Transparent, In The Manufacture Of Which Spirit } Has Been Used",EMPTY,0,1,0,0,0,,0,0,,,,
Unstemmed,EMPTY,0,1,0,0,0,,0,0,,,,
Beef,EMPTY,0,1,0,0,0,,0,0,,,,
"Alkali, Viz. Ashes, Pearl And Pot",EMPTY,0,1,0,0,0,,0,0,,,,
"Oxen, Bulls, Cows, And Calves",EMPTY,0,1,0,0,0,,0,0,,,,
Argol,EMPTY,0,1,0,0,0,,0,0,,,,
Arrowroot,EMPTY,0,1,0,0,0,,0,0,,,,
Bark: For Tanning Or Dyeing,EMPTY,0,1,0,0,0,,0,0,,,,
Beads And Bugles Of Glass,EMPTY,0,1,0,0,0,,0,0,,,,
Boracic Acid,EMPTY,0,1,0,0,0,,0,0,,,,
Camphor,EMPTY,0,1,0,0,0,,0,0,,,,
Cork,EMPTY,0,1,0,0,0,,0,0,,,,
"Corks, Ready Made",EMPTY,0,1,0,0,0,,0,0,,,,
Cream Of Tartar,EMPTY,0,1,0,0,0,,0,0,,,,
Ostrich,EMPTY,0,1,0,0,0,,0,0,,,,
"Nuts, Small",EMPTY,0,1,0,0,0,,0,0,,,,
Grease,EMPTY,0,1,0,0,0,,0,0,,,,
Gum: Animi And Copal,EMPTY,0,1,0,0,0,,0,0,,,,
Lacdye,EMPTY,0,1,0,0,0,,0,0,,,,
Shellac,EMPTY,0,1,0,0,0,,0,0,,,,
Senegal,EMPTY,0,1,0,0,0,,0,0,,,,
Jute — Raw,EMPTY,0,1,0,0,0,,0,0,,,,
Chromate Of,EMPTY,0,1,0,0,0,,0,0,,,,
Jewellery,EMPTY,0,1,0,0,0,,0,0,,,,
"Leather Manufactures: Boots, Shoes, And Boot Fronts",EMPTY,0,1,0,0,0,,0,0,,,,
Liquorice Juice And Paste,EMPTY,0,1,0,0,0,,0,0,,,,
Madder And Madder Root (Including Munjeet),EMPTY,0,1,0,0,0,,0,0,,,,
Mother-Of-Pearl Shells,EMPTY,0,1,0,0,0,,0,0,,,,
"Train, Spermaceti, And Blubber (Including Cod Liver Oil)",EMPTY,0,1,0,0,0,,0,0,,,,
Pearls,EMPTY,0,1,0,0,0,,0,0,,,,
"Pictures, Oil Paintings",EMPTY,0,1,0,0,0,,0,0,,,,
"Platting, Of All Kinds",EMPTY,0,1,0,0,0,,0,0,,,,
Rags And Other Materials For Making Paper: Rags,EMPTY,0,1,0,0,0,,0,0,,,,
"Torn Up, To Be Used As Wool",EMPTY,0,1,0,0,0,,0,0,,,,
Rhubarb,EMPTY,0,1,0,0,0,,0,0,,,,
Seed: Clover,EMPTY,0,1,0,0,0,,0,0,,,,
Millet,EMPTY,0,1,0,0,0,,0,0,,,,
Mustard,EMPTY,0,1,0,0,0,,0,0,,,,
Poppy,EMPTY,0,1,0,0,0,,0,0,,,,
Tares,EMPTY,0,1,0,0,0,,0,0,,,,
Seed Of Other Sorts,EMPTY,0,1,0,0,0,,0,0,,,,
Silk: Raw And Waste,EMPTY,0,1,0,0,0,,0,0,,,,
Of India: Silks Entered By The Piece,EMPTY,0,1,0,0,0,,0,0,,,,
All Other Silk Goods,EMPTY,0,1,0,0,0,,0,0,,,,
Kid,EMPTY,0,1,0,0,0,,0,0,,,,
Furs: Beaver,EMPTY,0,1,0,0,0,,0,0,,,,
Fox,EMPTY,0,1,0,0,0,,0,0,,,,
Marten,EMPTY,0,1,0,0,0,,0,0,,,,
Racoon,EMPTY,0,1,0,0,0,,0,0,,,,
Spelter Or Zinc,EMPTY,0,1,0,0,0,,0,0,,,,
Ginger — Raw,EMPTY,0,1,0,0,0,,0,0,,,,
Mace,EMPTY,0,1,0,0,0,,0,0,,,,
Nutmegs,EMPTY,0,1,0,0,0,,0,0,,,,
Pimento,EMPTY,0,1,0,0,0,,0,0,,,,
Tallow,EMPTY,0,1,0,0,0,,0,0,,,,
Tin Ore And Regulus,EMPTY,0,1,0,0,0,,0,0,,,,
Turmeric,EMPTY,0,1,0,0,0,,0,0,,,,
Ultramarine,EMPTY,0,1,0,0,0,,0,0,,,,
"Wax, Bees",EMPTY,0,1,0,0,0,,0,0,,,,
"Sawn Or Split Deals, Battens, &Amp;C",EMPTY,0,1,0,0,0,,0,0,,,,
Firewood,EMPTY,0,1,0,0,0,,0,0,,,,
Lathwood,EMPTY,0,1,0,0,0,,0,0,,,,
"Of Certain Kinds Used For Shipbuilding; Viz.,Greenheart, Red And Blue Gum, &Amp;C",EMPTY,0,1,0,0,0,,0,0,,,,
Dyewoods: Barwood,EMPTY,0,1,0,0,0,,0,0,,,,
Brazilwood,EMPTY,0,1,0,0,0,,0,0,,,,
Fustic,EMPTY,0,1,0,0,0,,0,0,,,,
Nicaragua,EMPTY,0,1,0,0,0,,0,0,,,,
Furniture And Hardwoods: Boxwood,EMPTY,0,1,0,0,0,,0,0,,,,
Cedar,EMPTY,0,1,0,0,0,,0,0,,,,
Rosewood,EMPTY,0,1,0,0,0,,0,0,,,,
Walnut Wood,EMPTY,0,1,0,0,0,,0,0,,,,
"Wool, Sheep, Lamb, Alpaca, And The Llama Tribe",EMPTY,0,1,0,0,0,,0,0,,,,
Woollen And Worsted Yarn,EMPTY,0,1,0,0,0,,0,0,,,,
Cotton — Other Kinds Of,EMPTY,0,1,0,0,0,,0,0,,,,
Confectionery (Not Containing Any Article Liable To Duty) Cwts,EMPTY,0,1,0,0,0,,0,0,,,,
"Lemons, Limes, And Citrons",EMPTY,0,1,0,0,0,,0,0,,,,
Nuts: Almonds,EMPTY,0,1,0,0,0,,0,0,,,,
Meat (Except Poultry And Game) — Salted,EMPTY,0,1,0,0,0,,0,0,,,,
"Meat (Except Poultry And Game) — Pork, Fresh",EMPTY,0,1,0,0,0,,0,0,,,,
Meat (Except Poultry And Game) — Salted (Other Than Bacon And Hams),EMPTY,0,1,0,0,0,,0,0,,,,
"Metals And Ores — Old Broken, Old Cast, And Old Broken Steel",EMPTY,0,1,0,0,0,,0,0,,,,
"Manufactures Of Iron And Steel — Ores, Unenumerated",EMPTY,0,1,0,0,0,,0,0,,,,
Manufactures Of Iron And Steel — Wrought Or Manufactured,EMPTY,0,1,0,0,0,,0,0,,,,
"Manufactures Of Iron And Steel — Mica, Talc, French Chalk, Steatite, Mineral White, Silica, And Soapstone",EMPTY,0,1,0,0,0,,0,0,,,,
All Other Kinds - Ccts,EMPTY,0,1,0,0,0,,0,0,,,,
"In Blocks, Ingots, Bars, Or Slabs - Ccts",EMPTY,0,1,0,0,0,,0,0,,,,
Paper Of All Kinds (Including Straw-Boards And Wood Pulp Boards) - Ccts,EMPTY,0,1,0,0,0,,0,0,,,,
Confectionery (Not Containing Any Article Liable To Duty) Ccts,EMPTY,0,1,0,0,0,,0,0,,,,
"Cable Yarn Of Hemp, &Amp;C. (Except Coir)",EMPTY,0,1,0,0,0,,0,0,,,,
"Coir, Coir Rope, Twine, Strands And Coir Yarn",EMPTY,0,1,0,0,0,,0,0,,,,
"Furniture (Household) Of Wood, And Cabinet Ware",EMPTY,0,1,0,0,0,,0,0,,,,
"Animals, Living — Manufactures Of",EMPTY,0,1,0,0,0,,0,0,,,,
For Beds,EMPTY,0,1,0,0,0,,0,0,,,,
"Meat (Except Poultry And Game) — Unenumerated, Salted Or Fresh",EMPTY,0,1,0,0,0,,0,0,,,,
Lawl,EMPTY,0,1,0,0,0,,0,0,,,,
Qui Silver,EMPTY,0,1,0,0,0,,0,0,,,,
"Gow, Ox, Bull, Or Elk",EMPTY,0,1,0,0,0,,0,0,,,,
"Animals, Living — Cxen, Bulls, Cows, And Calves",EMPTY,0,1,0,0,0,,0,0,,,,
Seeds — Tares And Lexills,EMPTY,0,1,0,0,0,,0,0,,,,
"Animals, Living — Bones, Of All Kinds (Except Whalefines)",EMPTY,0,1,0,0,0,,0,0,,,,
"Oil — Train Or Rubber, And Sperm",EMPTY,0,1,0,0,0,,0,0,,,,
"Unwrought, Part Wrought, And Old",EMPTY,0,1,0,0,0,,0,0,,,,
Tiquorice,EMPTY,0,1,0,0,0,,0,0,,,,
Hips,EMPTY,0,1,0,0,0,,0,0,,,,
Sced,EMPTY,0,1,0,0,0,,0,0,,,,
Olives — Raw,EMPTY,0,1,0,0,0,,0,0,,,,
Guin: Arabic,EMPTY,0,1,0,0,0,,0,0,,,,
"Beer And Ale :Mun, Spruce Or Black }Beer, Berlin White Beer, }And Other Similar Pre- }Parations",EMPTY,0,1,0,0,0,,0,0,,,,
"Books, Bound And Unbound, Including Maps And Charts Cicts",EMPTY,0,1,0,0,0,,0,0,,,,
Figs And Fig Cuke,EMPTY,0,1,0,0,0,,0,0,,,,
Unenumerated Vegetable Substances Applic-Able To The Same Uses As Hemp Or Flax - },EMPTY,0,1,0,0,0,,0,0,,,,
Spirits — Fenitiation Rum,EMPTY,0,1,0,0,0,,0,0,,,,
"Alpaca, Vicuña, And Lama",EMPTY,0,1,0,0,0,,0,0,,,,
"Beer And Ale : Mum, Spruce Or Black } Barrels Of 36 Gallons",EMPTY,0,1,0,0,0,,0,0,,,,
"Beer, Berlin White Beer, And Other Similar Preparations",EMPTY,0,1,0,0,0,,0,0,,,,
"Books, Bound And Unbound, Including Maps And Charts Cuts",EMPTY,0,1,0,0,0,,0,0,,,,
Confectionery (Not Containing Any Article Liable To Duty) Cuts,EMPTY,0,1,0,0,0,,0,0,,,,
"Unwrought, In Bars, Blocks, Slabs, Cakes }",EMPTY,0,1,0,0,0,,0,0,,,,
Or Ingots,EMPTY,0,1,0,0,0,,0,0,,,,
Raïnsins,EMPTY,0,1,0,0,0,,0,0,,,,
Still,EMPTY,0,1,0,0,0,,0,0,,,,
"Sparkling, Champagne",EMPTY,0,1,0,0,0,,0,0,,,,
Imported In Bottles — Stumm,EMPTY,0,1,0,0,0,,0,0,,,,
"Beer, Berlin White Beer, And Other Similar Pre- }",EMPTY,0,1,0,0,0,,0,0,,,,
"Books, Bound And Unbound, Including Maps And Charts Cts",EMPTY,0,1,0,0,0,,0,0,,,,
"Milk And Cream, Fresh, Or Preserved, Other Than Condensed Milk - - - - - } Gallons. Gallons. Cwts. Cwts. Cwts",EMPTY,0,1,0,0,0,,0,0,,,,
"Stones, Rough, Hewn, Or Manufactured (Other Thanworks Of Art)",EMPTY,0,1,0,0,0,,0,0,,,,
"Woollen Yarn, For Fancy Purposes, Including Berlin } Lbs",EMPTY,0,1,0,0,0,,0,0,,,,
Wool And Zephyr Yarn,EMPTY,0,1,0,0,0,,0,0,,,,
Orchil,EMPTY,0,1,0,0,0,,0,0,,,,
Silk Manufactures:Of Europe: Silks Entered By Weight,EMPTY,0,1,0,0,0,,0,0,,,,
