commodity,action,target,note
"Brass, Bronze, And Metal, Bronzed And Lacquered",fold,"Brass, Bronze, And Metal, Bronze And Lacquered",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
"Provisions, Unenumerated — Rags (Except Woollen) And Other Materials Formaking Paper",fold,"Provisions, Unenumerated — Rags (Except Woollen) And Other Materials For Making Paper",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
"Cordage, Cables, And Ropes Of Hemp Or Likematerial",fold,"Cordage, Cables, And Ropes Of Hemp Or Like Material",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
Chemical Manufactures And Products,fold,Chemical Manufactures And Pro-Ducts,OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
"Glass — Window And German Sheet, Includ-       Ing Shades And Cylinders",fold,"Glass — Window And German Sheet, Including Shades And Cylinders",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
"Meat, Un Enumerated — Salted Or Fresh",fold,"Meat, Unenumerated — Salted Or Fresh",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
"Glass — Flint, Plain, Cut, Or Ornamented (Includingbottles And Phials Of Flint Glass)",fold,"Glass — Flint, Plain, Cut, Or Ornamented (Including Bottles And Phials Of Flint Glass)",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
"Stones And Slates — Grindstones, Millstones, And Other Sorts Of Stone",fold,"Stones And Slates — Grindstones, Millstones, And Other Sorts Of Stones",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
Wood And Timber — Furniture Hardwood And Veneers : Mahogany,fold,Wood And Timber — Furniture Hardwoods And Veneers : Mahogany,OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
"Cotton Manufactures — Piece Goods Of Mixed Materials, Cottonpredominating",fold,"Cotton Manufactures — Piece Goods Of Mixed Materials, Cotton Predominating",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
Wood And Timber — Furniture Hardwood And Veneers : Unenumerated,fold,"Wood And Timber — Furniture, Hardwoods, And Veneers : Unenumerated",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
"Dye Stuffs, And Substances Used In Tanningunenumerated",fold,"Dye Stuffs, And Substances Used In Tanning — Unenumerated",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
"Skins And Furs — British: Sheep And Lambs', Un- Dressed, Without The Wool",fold,"Skins And Furs — British: Sheep And Lambs', Undressed, Without The Wool",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
"Metal — Unenumerated, Wrought Or Manu- Factured",fold,"Metal — Unenumerated, Wrought Or Manufactured",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
Fruit — Unenumerated : Preserved Withoutsugar,fold,Fruit — Unenumerated Preserved (With- Out Sugar),OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
"Brass, Bronze, And Metal Bronzed Or Lacquered, Manufactures Of, Un- Enumerated",fold,"Brass, Bronze, And Metal, Bronzed Or Lacquered, Manufactures Of, Unenumerated",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
"Arms, Ammunition, And Militarystores — Bags And Sacks Empty",fold,"Arms, Ammunition, And Military Stores — Bags And Sacks Empty",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
Fruit — Curraunts,fold,Fruit — Currants,OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
Succades (Including All Fruits And Vegetables Pre- Served In Sugar),fold,Succades (Including All Fruits And Vegetables Preserved In Sugar),OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
"Glass — Plate, Rough Or Silvered (Including Lookingglasses Or Mirrors)",fold,"Glass — Plate, Rough Or Silvered (Including Looking Glasses Or Mirrors)",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
"Cocoa Or Chocolate, Ground, Pre- Pared, Or In Any Way Manu- Factured",fold,"Cocoa Or Chocolate, Ground, Prepared Or In Any Way Manufactured",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
"Paper — Unenumerated, And Articles Of Paper (Exceptpapier Mâché)",fold,"Paper — Unenumerated, And Articles Of Paper (Except Papier Mâché)",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
"Ivory — .. Teeth, Elephants', Sea Cow, Seahorse, Or Sea Morsé",fold,"Ivory — Teeth, Elephants', Sea Cow, Sea Horse, Or Sea Morsé",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
"Skins, Furs, And Peelts — Unenumerated, Not Being Furs, Dressed And Undressed",fold,"Skins, Furs, And Pelts — Unenumerated, Not Being Furs, Dressed And Undressed",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
"Wool — Other Sorts, Including Foreign, Dressed In Theunited Kingdom, And Flocks And Ragwool",fold,"Wool — Other Sorts, Including Foreign, Dressed In The United Kingdom, And Flocks And Ragwool",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
Woollen And Worsted Manufactures — Shaws,fold,Woollen And Worsted Manufactures — Shawls,OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
"Cocoa — Cocoa Or Chocolate, Ground, Prepared Or In Anyway Manufactured",fold,"Cocoa — Cocoa Or Chocolate, Ground, Prepared Orin Any Way Manufactured",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
"Hemp — Unenumerated Vegetable Sub- Stances, Applicable To The Same Uses As Flax Or Hemp",fold,"Hemp — Unenumerated Vegetable Substances, Applicable To The Same Uses As Flax Or Hemp",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
"Ammunition — Muskets, Rifles, Carbines,     Fowling Pieces, Or Guns Of     Any Other Sorts Not Enumer-     Ated, And Parts Thereof, And     Pistols",fold,"Ammunition — Muskets, Rifles, Carbines, Fowling Pieces, Or Guns Of Any Other Sorts Not Enumerated, And Parts Thereof, And Pistols",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
"Arms And Ammunition — Muskets, Rifles, Carbines, Fowl-Ing-Pieces, Or Guns Of Any Othersort, Not Enumerated, And Partsthereof And Pistols",fold,"Arms And Ammunition — Muskets, Rifles, Carbones, Fowl- Ing-Pieces, Or Guns Of Any Other Sort, Not Enumerated, And Parts Thereof And Pistols",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
"Sugar — Molasses, Treacle, Syrup, Andglucose",fold,"Sugar — Molasses, Treacle, Syrup, And Glucose",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
"Leather — Varnished, Japanned, Or En-   Umelled",fold,"Leather — Varnished, Japanned, Or En-   Amelled",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
"Stones And Slates — Grindstones, Millstones, And Othersorts Of Stone",fold,"Stones And Slates — Grindstones, Millstones, And Other Sorts Of Stones",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
"Hemp — Unenumerated Vegetable Sub-Stances, Applicable To The Sameuses As Flax Or Hemp",fold,"Hemp — Unenumerated Vegetable Substances, Applicable To The Same Uses As Flax Or Hemp",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
"Arms, Ammunition, And Militarystores — Shot Of Iron, Including Shells",fold,"Arms, Ammunition, And Military Stores — Shot Of Iron, Including Shells",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
"Varnished, Japanned Or Enameled",fold,"Varnished, Japanned Or Enamelled",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
"Metal — Old, Fit Only To Be Re-Manufac- Tured",fold,"Metal"" Old, Fit Only To Be Re-Manufactured",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
"Glass — Window And German Sheet, Including Shadesand Cylinders",fold,"Glass — Window And German Sheet, Including Shades And Cylinders",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
"Paraffine — Perfumery, And Articles Used In The Manufacturethereof",fold,"Paraffine — Perfumery, And Articles Used Inthe Manufacture Thereof",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
"Arms, Ammunition, And Military Stores — Swords, Cutlasses, Bayonets, And Arms Of Othersorts, Unenumerated",fold,"Arms, Ammunition, And Military Stores — Swords, Cutlasses, Bayonets, And Arms Of Other Sorts, Unenumerated",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
"Petroleum — Pickles And Vegetables, Preserved In Salt Orvinegar",fold,"Petroleum — Pickles And Vegetables, Preserved Insalt Or Vinegar",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
"Paper — Pasteboard, Millboard, &C. (Including Play-Ing Cards)",fold,"Paper — Pasteboard, Millboard, &C. (Including Playing Cards)",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
"Plums, French, And Prunelloc",fold,"Plums, French, And Pruneloes",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
Linens Yarn,fold,Linen Yarn,OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
"Arms, Ammunition, And Militarystores — Muskets, Rifles And Fowling Pieces",fold,"Arms, Ammunition, And Military Stores — Muskets, Rifles And Fowling Pieces",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
Paper — Of Other Material,fold,Paper — Of Other Materials,OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
Corn And Grain — Maize Or Indian Cornmeal (Including Maizena),fold,Corn And Grain — Maize Or Indian Corn Meal (Including Maizena),OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
Corn And Grain — Ryemeal,fold,Corn And Grain — Rye Meal,OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
"Metal — Unenumerated, Wrought Or Manu- Factured : Old, Fit Only To Be Re-Manufac- Tured",fold,"Metal — Unenumerated, Wrought Or Manufactured : Old, Fit Only To Be Re-Manufactured",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
"Iron — Old Broken, And Old Cast Ironand Steel",fold,"Iron — Old Broken, And Old Cast Iron And Steel",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
"Gold — Ore Of, Or Ore Of Which The Greater Part Invalue Is Gold",fold,"Gold — Ore Of, Or Ore Of Which The Greater Part In Value Is Gold",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
"Arms, Ammunition, And Militarystores — Percussion Caps",fold,"Arms, Ammunition, And Military Stores — Percussion Caps",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
"Metal — Old (Other Than Iron Or Copper), Fit Only Forre-Manufacture",fold,"Metal — Old (Other Than Iron Or Copper), Fit Only For     Re-Manufacture",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
"Cotton — Skins, Unenumerated, Undressed",fold,"Cotton — Skins, Unenumerated, Un-Dressed",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
Dyewoods — Unenumerated,fold,Dye Woods — Unenumerated,OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
"Spirits — Not Tested, For Ascertaining Thestrength",fold,"Spirits — Not Tested, For Ascertaining The Strength",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
Telegraphic Wires And Apparatus — Other Kinds Of Manufacturedtobacco,fold,Telegraphic Wires And Apparatus — Other Kinds Of Manufactured Tobacco,OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
"Paper — Pasteboard, Millboard, &C. (In- Cluding Playing Cards)",fold,"Paper — Pasteboard, Millboard, &C. (Including Playing Cards)",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
"Arms, Ammunition, And Military Stores — Cannon And Mortars, Mounted Or Accom-Panied With Carriages",fold,"Arms, Ammunition, And Military Stores — Cannon And Mortars, Mounted Or Accompanied With Carriages",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
"Arms, Ammunition, And Militarystores — Revolvers",fold,"Arms, Ammunition, And Military Stores — Revolvers",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
Beer And Ale — Bones (Except Whalefins) Applicable To Manu-Facturing Purposes,fold,Beer And Ale — Bones (Except Whalefins) Applicable To Manufacturing Purposes,OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
Whalebone (Whalefin),fold,Whalebone (Whalefins),OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
"Arms, Ammunition; And Military Stores — Cannon And Mortars, Mounted Or Accompaniedwith Carriages",fold,"Arms, Ammunition, And Military Stores — Cannon And Mortars, Mounted Or Accompanied With Carriages",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
Dye Stuffs (Other Than Dye Woods) And Substances Used In Tan- Ning Or Dyeing — Safflower,fold,"Dye Stuffs (Other Than Dye Woods), And Substances Used In Tanning Or Dyeing — Safflower",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
"Arms, Ammunition, And Militarystores — To Australasia",fold,"Arms, Ammunition, And Military Stores — To Australasia",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
"Animals, Living — Horses, Mares, Geldings, Coltsand Foals",fold,"Animals Living — Horses, Mares, Geldings, Colts, And Foals",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
"Quicksilver — Woollen, Applicable To Other Uses Thanmanure, Torn Up Or Not",fold,"Quicksilver — Woollen, Applicable To Other Uses Than Manure, Torn Up Or Not",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
"Armnish, Containing Alcohol",fold,"Varnish, Containing Alcohol",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
"Skins, Furs, And Pelts — Unenumerated, In Any Waydressed, Not Leather",fold,"Skins, Furs, And Pelts — Unenumerated : 
                    In Any Way Dressed ; Not Leather",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
"Copper — Old, Fit Only To Be Re-Manufac- Tured",fold,"Copper — Old, Fit Only To Be Re-Manufactured",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
Ether — Aetic,fold,Ether — Acetic,OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
Dyewoods — Unnumerated,fold,Dye Woods — Unenumerated,OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
Dyewoods — Logwood,fold,Dye Woods — Logwood,OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
"Paper-Making Materials — Es-Parto, And Other Vegetable Fibres",fold,"Paper-Making Materials — Esparto, And Other Vegetable Fibres",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
Oilseed Cake: Linseed Cake,fold,Oil Seed Cake — Linseed Cake,OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
"Arms, Ammunition, And Military Stores — Ordnance Stores And Ammunition, Unenumere- Rated",fold,"Arms, Ammunition, And Military Stores — Ordnance Stores And Ammunition, Unenumerated",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
"Arms, Ammunition, And Military Stores — Ordnance Stores And Ammunition, Unenum-Erated",fold,"Arms, Ammunition, And Military Stores — Ordnance Stores And Ammunition, Unenumerated",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
"Furniture (Household), Cabinet And Up-Holstery Wares",fold,"Furniture, (Household) Cabinet,And Upholstery Wares",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
"Glass — Haberdashery And Millinery, Including Em-Broidery And Needlework",fold,"Glass — Haberdashery And Millinery, Including Embroidery And Needlework",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
"Woollen And Worsted Manufactures — Small Wares, And Manufactures Of Wool Orworsted, Unenumerated",fold,"Woollen And Worsted Manufactures — Small Wares, And Manufactures Of Wool Or Worsted, Unenumerated",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
"Cheese — Chemical Products Or Preparations, Not Specially Enumerated",fold,"Cheese — Chemical Products Or Preparations, Not Speciallyenumerated",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
"Pickles, Vinegar, Sauces, Condiments, Pre-Served Fruits, And Confectionery",fold,"Pickles, Vinegar, Sauces, Condiments, Preserved Fruits, And Confectionery",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
"Plants, Shrubs, Trees, And Flowerroots",fold,"Plants, Shrubs, Trees, And Flower Roots",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
Coconut,fold,Coco Nut,OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
Salt Petre - - - - - - -,fold,Saltpetre,OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
"Soap, Transparent, In The Manufacture Of Which Spirithas Been Used",fold,"Soap, Transparent, In The Manufacture Of Which Spirit Has Been Used",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
"Silk Manufactures — Silver Ore, Or Ore Of Which Thegreater Part In Value Is Silver",fold,"Silk Manufactures — Silver Ore, Or Ore Of Which The Greater Part In Value Is Silver",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
Specimens Illustrative Of Natural Science,fold,"Specimens, Illustrative Of Naturalscience",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
"Unwrought, Part Wrought, And Oldcopper",fold,"Unwrought, Part Wrought, And Old Copper",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
"Copper — Manufactures Of, Unenumerated, Includingcopper Coin",fold,"Copper — Manufactures Of, Unenumerated, Including Copper Coin",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
"Embroidery And Needlework — Farinaceous Substances And Manufac-Tures Thereof, Unenumerated",fold,"Embroidery And Needlework — Farinaceous Substances And Manufactures Thereof, Unenumerated",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
"Arms, Ammunition, And Militarystores — Ammunition, Unenumerated",fold,"Arms, Ammunition, And Military Stores — Ammunition, Unenumerated",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
"Silk Manufactures — Manufactures Of Silk, Or Of Silk Mixed Withother Materials, Unenumerated",fold,"Silk Manufactures — Manufactures Of Silk, Or Of Silk Mixed With Other Materials, Unenumerated",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
"Dyewoods: Logwood "" Unenumerated",fold,Dye Woods: Logwood — Unenumerated,OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
Dyewoods :Logwood Tonsunenumerated,fold,Dye Woods: Logwood — Unenumerated,OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
"Arms And Ammunition — Rockets, And Other Combustibles For Purposes Of War, Explosives, Percussion Caps, And Ammun- Tion Unenumerated",fold,"Arms And Ammunition — Rockets, And Other Combustibles For Purposes Of War, Explosives, Percussion Caps, And Ammunition, Unenumerated",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
Bark — Extracts Of Bark Or Other Substances To Be Usedin Tanning Or Dyeing,fold,Bark — Extracts Of Bark Or Other Substances To Be Used In Tanning Or Dyeing,OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
"Leather — Wrought, Other Articles, Unenu-Merated",fold,"Leather — Wrought, Other Articles, Unenumerated",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
"Carriages, &C — Railway Waggons, Trucks, &C. Andparts Thereof For Ballast, Minerals,Or Merchandise",fold,"Carriages, &C — Railway Waggons, Trucks, &C. And Parts Thereof For Ballast, Minerals, Or Merchandise",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
"Embroidery And Needlework — Extracts, Of Other Sorts. Than Dyestuffs, Unenumerated",fold,"Embroidery And Needlework — Extracts, Of Other Sorts Than Dye-Stuffs, Unenumerated",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
Preserved Otherwise Than By Salting — Other Sports,fold,Preserved Otherwise Than By Salting — Other Sorts,OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
"— Girders, Beamsand Pillars - Tons",fold,"Girders, Beams And Pillars } Tons",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
Paper Of All Kinds (Including Straw-Boards And Woodpulp Boards),fold,Paper Of All Kinds (Including Straw-Boards And Wood Pulp Boards),OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
"Skins, Furs, And Peilts — Manufactures Of Skins And Furs",fold,"Skins, Furs, And Pelts — Manufactures Of Skins And Furs",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
Fruit — Unenumerated Preserved (With- Out Sugar),rename,Fruit — Unenumerated : Preserved Without Sugar,"display-name repair: both spellings in the cluster carried OCR damage, so the canonical is written out"
"Arms And Ammunition — Muskets, Rifles, Carbones, Fowl- Ing-Pieces, Or Guns Of Any Other Sort, Not Enumerated, And Parts Thereof And Pistols",rename,"Arms And Ammunition — Muskets, Rifles, Carbines, Fowling-Pieces, Or Guns Of Any Other Sort, Not Enumerated, And Parts Thereof And Pistols","display-name repair: both spellings in the cluster carried OCR damage, so the canonical is written out"
"Leather — Varnished, Japanned, Or En-   Amelled",rename,"Leather — Varnished, Japanned, Or Enamelled","display-name repair: both spellings in the cluster carried OCR damage, so the canonical is written out"
"Metal"" Old, Fit Only To Be Re-Manufactured",rename,"Metal — Old, Fit Only To Be Re-Manufactured","display-name repair: both spellings in the cluster carried OCR damage, so the canonical is written out"
"Girders, Beams And Pillars } Tons",rename,"Girders, Beams And Pillars","display-name repair: both spellings in the cluster carried OCR damage, so the canonical is written out"
"Woollen And Worsted Manufactures — Yarn, Alpaca, Mohair, And Other Sorts Un-Enumerated",fold,"Woollen And Worsted Manufactures — Yarn, Alpaca, Mohair, And Other Sorts Unenumerated",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
"Furniture (Household), Cabinetand Upholstery Wares",fold,"Furniture, (Household) Cabinet,And Upholstery Wares",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
"Silk Manufactures — Manufactures Of Silk, Or Of Silk Mixedwith Other Materials, Unenumerated",fold,"Silk Manufactures — Manufactures Of Silk, Or Of Silk Mixed With Other Materials, Unenumerated",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept
Sawn Or Split - - - - -,fold,Wood And Timber — Sawn Or Split,orphaned article row: the commodity head was lost in the source volume; unique host and the two T1 spans are era-complementary (no overlapping year)
Hewn - - - - -,fold,Wood And Timber — Hewn,orphaned article row: the commodity head was lost in the source volume; unique host and the two T1 spans are era-complementary (no overlapping year)
Thrown,fold,Silk — Thrown,orphaned article row: the commodity head was lost in the source volume; unique host and the two T1 spans are era-complementary (no overlapping year)
Oak,fold,Wood And Timber — Oak,orphaned article row: the commodity head was lost in the source volume; unique host and the two T1 spans are era-complementary (no overlapping year)
Glucose,fold,Sugar — Glucose,orphaned article row: the commodity head was lost in the source volume; unique host and the two T1 spans are era-complementary (no overlapping year)
Manufactures: Piece Goods,fold,"Jute Yarn — Manufactures, Piece Goods",orphaned article row: the commodity head was lost in the source volume; unique host and the two T1 spans are era-complementary (no overlapping year)
Teak,fold,Wood And Timber — Teak,orphaned article row: the commodity head was lost in the source volume; unique host and the two T1 spans are era-complementary (no overlapping year)
Printed Or Coated,fold,Paper — Printed Or Coated,orphaned article row: the commodity head was lost in the source volume; unique host and the two T1 spans are era-complementary (no overlapping year)
Shell Fish: Oysters For Food,fold,"Eggs — Shell Fish, Oysters For Food",orphaned article row: the commodity head was lost in the source volume; unique host and the two T1 spans are era-complementary (no overlapping year)
Peruvian,fold,Bark — Peruvian,orphaned article row: the commodity head was lost in the source volume; unique host and the two T1 spans are era-complementary (no overlapping year)
"Of Silver, Gilt Or Ungilt",fold,"Plate — Of Silver, Gilt Or Ungilt",orphaned article row: the commodity head was lost in the source volume; unique host and the two T1 spans are era-complementary (no overlapping year)
Prunes,fold,Fruit — Prunes,orphaned article row: the commodity head was lost in the source volume; unique host and the two T1 spans are era-complementary (no overlapping year)
Burgundy,fold,Tobacco — Burgundy,orphaned article row: the commodity head was lost in the source volume; unique host and the two T1 spans are era-complementary (no overlapping year)
"Ethyl, Iodide Of",fold,"Ether — Ethyl, Iodide Of",orphaned article row: the commodity head was lost in the source volume; unique host and the two T1 spans are era-complementary (no overlapping year)
Seal,fold,"Skins, Furs, And Pelts — Seal",orphaned article row: the commodity head was lost in the source volume; unique host and the two T1 spans are era-complementary (no overlapping year)
Garancine,fold,Madder — Garancine,orphaned article row: the commodity head was lost in the source volume; unique host and the two T1 spans are era-complementary (no overlapping year)
Moselle,fold,Tobacco — Moselle,orphaned article row: the commodity head was lost in the source volume; unique host and the two T1 spans are era-complementary (no overlapping year)
"Other Kinds, And Flocks",fold,"Wool — Other Kinds, And Flocks",orphaned article row: the commodity head was lost in the source volume; unique host and the two T1 spans are era-complementary (no overlapping year)
Figs,fold,Fruit — Figs,orphaned article row: the commodity head was lost in the source volume; unique host and the two T1 spans are era-complementary (no overlapping year)
Oranges And Lemons,fold,Fruit — Oranges And Lemons,orphaned article row: the commodity head was lost in the source volume; unique host and the two T1 spans are era-complementary (no overlapping year)
"Girders, Beams And Pillars",fold,"Manufactures Of Iron Or Steel — Girders, Beams And Pillars",orphaned article row: the commodity head was lost in the source volume; unique host and the two T1 spans are era-complementary (no overlapping year)
Corn And Grain — Raw,drop,,"stale-head re-print: the article matches ""Cotton — Raw"" and 91% of the cells are already there; the head is glue from the previous table"
Rough And In The Husk — Not Rough Nor In The Husk,drop,,"stale-head re-print: the article matches ""Rice — Not Rough Nor In The Husk"" and 100% of the cells are already there; the head is glue from the previous table"
Spirits — Unmanufactured,drop,,"stale-head re-print: the article matches ""Tobacco — Unmanufactured"" and 100% of the cells are already there; the head is glue from the previous table"
"Quicksilver, (Metallic) — Not In The Husk",drop,,"stale-head re-print: the article matches ""Rice — Not In The Husk"" and 100% of the cells are already there; the head is glue from the previous table"
"Window And German Sheet, Including Shades And Cylinders",fold,"Glass — Window And German Sheet, Including Shades And Cylinders","stale-head glue: same printed article as ""Glass — Window And German Sheet, Including Shades And Cylinders"", head left over from the previous table"
"Shells Of All Kinds — Skins, Sheep, Undressed",fold,"Silver, Ore Of, Or Ore Of Which The Greater Part In Value Is Silver — Skins, Sheep, Undressed","stale-head glue: same printed article as ""Silver, Ore Of, Or Ore Of Which The Greater Part In Value Is Silver — Skins, Sheep, Undressed"", head left over from the previous table"
Manures — Beef,fold,Meat — Beef,"stale-head glue: same printed article as ""Meat — Beef"", head left over from the previous table"
Fruit Dried — Raisins,drop,,"stale-head re-print: the article matches ""Fruit — Raisins"" and 100% of the cells are already there; the head is glue from the previous table"
"Tea — White, In Bottles: Still",drop,,"stale-head re-print: the article matches ""Tobacco — White, In Bottles, Still"" and 91% of the cells are already there; the head is glue from the previous table"
Metal — Myrabolams,drop,,"stale-head re-print: the article matches ""Myrabolams"" and 100% of the cells are already there; the head is glue from the previous table"
